year,mileage,engine_size,horsepower,fuel_type,transmission,brand,condition,accident_count,num_owners,price
2007,178149,1.8,219,diesel,automatic,Ford,excellent,0,1,10343.56
2011,44646,2.0,270,gasoline,automatic,Mercedes,excellent,1,2,50163.79
2012,97039,1.6,458,diesel,automatic,Mercedes,good,0,2,59734.56
2014,119167,2.5,170,gasoline,automatic,Audi,excellent,0,1,42792.98
2019,25285,1.4,80,gasoline,automatic,Nissan,good,0,1,20445.31
2006,165912,3.5,88,gasoline,manual,Hyundai,good,0,1,10141.49
2023,125191,5.0,325,gasoline,manual,Kia,fair,0,1,19405.56
2002,154944,1.4,493,gasoline,automatic,Toyota,excellent,2,2,12098.87
2014,67843,5.0,384,gasoline,automatic,Kia,good,0,1,25058.85
2013,7892,3.5,123,hybrid,automatic,Hyundai,fair,5,2,7940.65
2018,55798,3.5,175,gasoline,manual,Nissan,poor,1,1,13247.91
2008,31193,4.0,128,gasoline,automatic,Chevrolet,poor,1,1,8877.87
2015,158915,3.0,110,hybrid,automatic,Kia,excellent,0,5,15794.01
2004,70044,1.8,136,gasoline,automatic,BMW,good,0,1,22831.12
2013,89203,1.8,152,gasoline,automatic,BMW,fair,1,2,20667.61
2021,186823,1.6,339,gasoline,automatic,Mercedes,good,0,2,49395.99
2011,78784,1.8,257,diesel,automatic,Chevrolet,good,0,1,20588.99
2012,75982,2.5,324,electric,automatic,Audi,excellent,3,3,52038.81
2017,22372,1.4,181,gasoline,automatic,Honda,fair,0,3,20207.17
2020,78032,1.8,438,diesel,cvt,Chevrolet,poor,0,2,15194.99
2019,191847,5.0,271,gasoline,automatic,Audi,excellent,0,3,51965.42
2005,102486,1.4,330,gasoline,automatic,Audi,excellent,3,3,21736.98
2014,44149,2.0,159,gasoline,cvt,Chevrolet,fair,0,5,14090.63
2011,139313,1.6,86,hybrid,automatic,Kia,excellent,0,5,8214.48
2021,161534,5.0,138,gasoline,automatic,Ford,excellent,0,1,28740.91
2020,90621,2.5,261,diesel,automatic,Honda,fair,2,2,21627.89
2001,192345,5.0,119,gasoline,automatic,Honda,excellent,4,1,2576.73
2021,138424,1.8,301,hybrid,automatic,Ford,excellent,0,5,30925.81
2007,27478,4.0,141,diesel,automatic,Hyundai,good,0,2,16091.48
2013,114433,5.0,80,diesel,automatic,Toyota,good,0,1,23378.12
2000,44187,2.0,496,diesel,automatic,Mercedes,good,0,2,47796.5
2010,153835,2.5,261,gasoline,manual,Hyundai,good,1,2,10310.7
2007,111496,2.5,329,gasoline,automatic,Honda,good,0,1,18312.5
2014,186391,4.0,204,electric,automatic,Nissan,good,4,1,14939.53
2014,129793,4.0,172,diesel,automatic,Hyundai,good,0,4,17072.65
2018,31188,5.0,388,gasoline,manual,BMW,fair,1,2,48055.01
2010,150879,3.5,323,diesel,automatic,Hyundai,excellent,1,3,18112.06
2023,53262,3.0,489,gasoline,automatic,Audi,poor,3,1,33362.18
2004,173352,1.8,184,gasoline,automatic,Toyota,good,1,4,5100.5
2019,96408,3.0,334,gasoline,manual,Kia,poor,0,2,9067.81
2016,77298,1.6,317,hybrid,automatic,Toyota,excellent,0,3,36331.83
2014,185346,4.0,349,electric,automatic,Chevrolet,fair,0,1,18762.17
2004,93456,4.0,358,gasoline,automatic,Nissan,good,0,5,19006.59
2007,169389,4.0,403,diesel,automatic,Honda,good,3,1,16643.31
2006,132046,2.0,410,electric,cvt,Mercedes,fair,0,5,29939.98
2002,128039,2.0,142,diesel,cvt,Nissan,fair,1,2,2884.71
2021,76088,1.8,157,gasoline,automatic,Mercedes,good,0,3,47737.65
2016,35057,3.0,105,hybrid,automatic,Ford,excellent,0,1,32396.89
2006,178428,3.0,142,hybrid,automatic,Ford,good,0,2,10603.29
2016,168265,3.5,254,gasoline,automatic,Honda,fair,3,1,14629.35
2005,166958,1.8,452,hybrid,cvt,Ford,good,0,3,14756.28
2002,163666,2.5,234,electric,automatic,Chevrolet,good,1,3,6341.17
2017,18938,3.5,250,hybrid,automatic,BMW,good,1,2,65769.2
2001,190687,1.6,303,diesel,automatic,Mercedes,fair,4,3,500.0
2000,63893,4.0,171,gasoline,automatic,Mercedes,good,0,1,32499.64
2021,180979,3.0,316,gasoline,manual,Honda,fair,0,3,17167.48
2000,11956,5.0,348,gasoline,automatic,Ford,good,1,1,21504.68
2018,54292,2.5,468,gasoline,automatic,Ford,fair,0,3,22337.94
2015,184304,2.5,135,gasoline,automatic,Hyundai,excellent,4,1,7986.4
2018,156214,5.0,485,diesel,automatic,Mercedes,good,0,1,78020.53
2009,85098,1.6,306,gasoline,manual,Audi,good,2,3,27694.09
2007,176810,4.0,136,gasoline,automatic,BMW,good,0,1,21090.26
2008,154141,5.0,333,hybrid,automatic,Audi,fair,0,2,34751.74
2009,31306,1.8,116,gasoline,automatic,Ford,excellent,1,2,15584.79
2020,30160,1.4,149,gasoline,automatic,Hyundai,excellent,1,2,22193.41
2006,23015,1.6,299,hybrid,cvt,Mercedes,excellent,2,5,42877.55
2018,60487,2.5,437,diesel,automatic,Audi,good,1,1,67025.08
2009,57848,2.0,233,diesel,automatic,Kia,good,0,3,12989.76
2019,100762,3.5,168,electric,automatic,Honda,excellent,0,5,36403.39
2009,148804,3.5,257,gasoline,automatic,Honda,excellent,0,1,23537.43
2008,114750,1.8,446,gasoline,automatic,Kia,good,0,2,15452.61
2013,148613,2.0,460,gasoline,automatic,Mercedes,good,1,4,43912.94
2002,173595,2.0,420,electric,automatic,Toyota,excellent,0,2,20939.98
2010,69070,3.5,330,gasoline,automatic,Mercedes,excellent,0,3,59186.81
2016,180221,1.6,472,hybrid,cvt,Audi,excellent,1,2,51886.03
2014,82828,2.5,109,diesel,cvt,BMW,fair,1,1,24462.2
2022,85911,1.6,210,gasoline,automatic,Ford,fair,2,2,16309.94
2002,36360,1.4,355,hybrid,automatic,Chevrolet,good,0,2,16586.38
2003,1206,1.8,303,gasoline,automatic,Chevrolet,good,0,1,15395.48
2010,178620,4.0,304,gasoline,automatic,Ford,fair,0,3,13259.89
2015,41611,3.0,380,electric,cvt,Chevrolet,good,1,3,26819.41
2005,164708,1.6,200,gasoline,automatic,Honda,good,1,2,7458.46
2006,147057,5.0,473,hybrid,manual,Hyundai,excellent,1,1,24936.43
2012,66388,3.0,200,hybrid,manual,Mercedes,fair,0,2,31732.76
2023,128009,5.0,263,gasoline,automatic,Nissan,poor,2,2,13589.17
2011,96861,4.0,466,diesel,automatic,Honda,fair,2,2,19560.06
2016,149065,4.0,368,hybrid,cvt,Audi,fair,0,2,39634.35
2012,79099,3.0,133,electric,manual,Toyota,excellent,0,4,26241.45
2006,90683,5.0,216,gasoline,cvt,Hyundai,excellent,0,1,18881.86
2022,83570,4.0,116,diesel,automatic,Kia,good,1,2,20271.95
2005,143599,3.5,314,gasoline,automatic,Mercedes,excellent,3,2,32016.25
2006,103728,5.0,175,gasoline,manual,Nissan,excellent,0,1,19181.43
2000,12398,1.4,257,diesel,automatic,Honda,poor,2,2,7058.95
2013,192061,5.0,200,electric,automatic,Honda,excellent,1,2,27132.78
2014,103342,1.4,343,gasoline,automatic,Honda,good,2,1,23344.37
2006,192921,1.4,135,gasoline,automatic,BMW,excellent,1,1,7144.92
2013,58939,1.6,295,diesel,automatic,Nissan,good,4,1,17382.72
2013,147652,1.8,433,gasoline,automatic,Kia,good,1,5,15497.61
2019,171386,3.0,487,gasoline,automatic,Mercedes,poor,3,1,27214.84
2018,69929,3.5,422,hybrid,automatic,BMW,excellent,4,2,72870.89
2007,168363,5.0,392,diesel,automatic,Audi,fair,0,3,30610.01
2013,178576,2.0,200,gasoline,cvt,Audi,excellent,0,1,29826.79
2014,28750,1.4,335,gasoline,automatic,Honda,fair,0,4,18492.45
2001,179674,1.8,278,gasoline,cvt,Audi,good,5,2,500.0
2002,110016,2.0,291,gasoline,automatic,Mercedes,excellent,3,3,16919.73
2007,78780,2.0,162,diesel,cvt,Nissan,excellent,1,2,14721.38
2016,117132,2.5,236,hybrid,automatic,Audi,excellent,2,1,52423.04
2014,39638,3.0,472,gasoline,automatic,Ford,good,2,3,26645.46
2002,178295,3.0,362,gasoline,automatic,BMW,excellent,1,3,23280.14
2018,58451,1.4,219,diesel,cvt,Chevrolet,good,2,2,17668.21
2012,197540,3.0,362,gasoline,cvt,Kia,excellent,0,2,18466.93
2016,92781,1.8,178,gasoline,automatic,Ford,good,0,2,18791.88
2012,22763,2.0,448,gasoline,automatic,Ford,good,1,1,25077.06
2005,168570,2.0,185,hybrid,automatic,Toyota,excellent,0,2,11677.21
2023,86105,3.5,331,hybrid,automatic,Ford,good,0,2,37423.09
2023,99755,3.0,168,diesel,automatic,Chevrolet,good,1,1,25239.66
2018,120144,2.5,407,gasoline,cvt,Mercedes,fair,0,1,44106.18
2005,52883,4.0,426,electric,cvt,Honda,good,3,5,23408.69
2022,143437,4.0,169,hybrid,automatic,Chevrolet,good,0,1,27015.84
2001,69782,5.0,207,gasoline,manual,BMW,excellent,2,2,27324.53
2023,192340,4.0,209,gasoline,manual,Ford,poor,1,2,9438.1
2020,132240,1.8,287,electric,manual,Honda,good,0,2,27620.11
2020,114281,3.0,193,gasoline,automatic,Hyundai,fair,2,1,13958.12
2018,90556,5.0,451,gasoline,automatic,Ford,poor,4,3,11639.06
2003,38157,3.5,343,hybrid,cvt,BMW,excellent,2,3,48164.28
2006,186880,2.0,336,gasoline,manual,Ford,good,3,5,7621.86
2017,78284,2.0,99,gasoline,manual,Audi,good,3,1,26490.56
2005,149472,5.0,181,gasoline,automatic,Mercedes,poor,0,2,15389.2
2002,73334,1.8,443,gasoline,automatic,Kia,excellent,0,1,16379.88
2014,95880,1.6,245,diesel,cvt,BMW,good,0,3,39427.82
2023,170327,3.0,366,electric,automatic,Chevrolet,good,0,2,29868.55
2014,770,1.8,409,diesel,automatic,Kia,good,4,2,21375.04
2001,167283,3.0,394,electric,automatic,Hyundai,good,0,3,12080.13
2006,187773,4.0,395,gasoline,automatic,Chevrolet,good,1,2,15388.7
2005,13101,1.6,250,diesel,automatic,Hyundai,good,1,1,17627.54
2013,149218,3.0,86,gasoline,automatic,Ford,good,0,5,12547.62
2023,161043,2.0,429,gasoline,manual,Ford,good,2,2,22664.13
2012,59676,1.6,168,gasoline,manual,Hyundai,excellent,2,2,16369.28
2019,132144,1.4,107,diesel,automatic,Ford,fair,0,4,13441.55
2018,74835,1.6,286,diesel,cvt,Kia,excellent,3,1,22270.5
2010,71574,1.6,234,electric,automatic,Hyundai,excellent,0,3,19642.81
2007,61905,5.0,216,gasoline,automatic,Audi,excellent,0,3,51879.5
2021,110890,1.6,157,gasoline,automatic,Mercedes,fair,2,1,28809.63
2008,70928,1.8,181,diesel,automatic,Chevrolet,good,1,4,12826.88
2004,83873,4.0,86,electric,automatic,Honda,poor,1,3,6608.21
2019,122466,2.5,132,gasoline,automatic,Ford,good,3,3,15081.92
2014,130547,1.4,152,gasoline,automatic,Mercedes,fair,1,1,22301.57
2002,53968,1.4,184,gasoline,automatic,Audi,good,0,3,19515.09
2008,177478,4.0,440,gasoline,automatic,Nissan,excellent,2,1,17390.13
2000,142694,2.0,266,gasoline,automatic,Nissan,poor,0,5,4469.38
2015,4920,4.0,473,gasoline,cvt,Nissan,excellent,2,3,37260.08
2012,196488,2.0,225,diesel,automatic,Hyundai,good,0,2,11907.82
2010,42012,1.6,379,gasoline,cvt,Toyota,good,1,1,22165.61
2018,53746,4.0,328,diesel,automatic,BMW,good,0,3,70910.75
2019,120333,3.5,421,diesel,automatic,Nissan,good,0,1,32650.1
2023,137738,3.0,472,diesel,manual,Kia,good,0,3,23916.4
2001,64160,5.0,308,gasoline,manual,Chevrolet,fair,0,1,11592.21
2010,114159,1.8,139,gasoline,automatic,Chevrolet,good,2,1,8618.56
2012,77912,3.5,375,gasoline,manual,Hyundai,excellent,0,3,23934.27
2020,17607,2.0,367,gasoline,manual,Mercedes,good,1,2,64214.28
2010,33679,3.5,327,gasoline,automatic,Kia,good,1,2,21371.44
2015,31032,1.8,381,diesel,automatic,BMW,good,3,1,53586.37
2019,60296,2.5,219,gasoline,automatic,Nissan,good,1,2,22891.78
2015,83769,1.8,401,electric,manual,BMW,excellent,0,1,70959.93
2018,61586,2.0,269,gasoline,automatic,BMW,excellent,1,3,58374.57
2008,79090,1.6,258,hybrid,cvt,Honda,excellent,1,1,22800.15
2009,2108,3.5,233,diesel,automatic,Toyota,fair,0,1,25184.46
2020,10774,1.8,212,hybrid,manual,Hyundai,excellent,2,1,26247.37
2012,143980,1.8,438,gasoline,cvt,Kia,good,4,2,9935.94
2012,58513,3.0,203,hybrid,automatic,Hyundai,poor,0,4,6250.94
2002,58069,1.8,308,gasoline,manual,BMW,good,0,2,24539.75
2016,43439,5.0,165,gasoline,automatic,Chevrolet,fair,2,2,16669.05
2009,53163,5.0,408,gasoline,manual,Ford,poor,2,2,10175.25
2013,34295,3.0,216,electric,automatic,Ford,excellent,1,2,32909.51
2023,197994,3.5,450,gasoline,automatic,Toyota,good,2,1,29873.24
2019,84863,5.0,442,gasoline,manual,Nissan,good,0,1,32713.41
2014,7073,4.0,420,gasoline,cvt,Toyota,excellent,1,4,38812.9
2010,122842,2.5,197,hybrid,automatic,Audi,good,0,1,36173.34
2001,95323,4.0,337,diesel,automatic,Chevrolet,good,1,2,13929.49
2010,114576,3.0,82,hybrid,automatic,Honda,excellent,0,2,19950.5
2013,33216,1.6,433,gasoline,manual,Kia,good,0,3,17811.81
2023,116559,1.8,485,electric,automatic,Hyundai,fair,0,1,27092.15
2020,119530,1.4,331,gasoline,automatic,Kia,excellent,2,1,19535.8
2000,139317,1.6,327,diesel,automatic,Chevrolet,good,1,4,6097.21
2001,75391,1.4,182,gasoline,manual,Audi,good,1,1,12246.05
2013,89299,2.5,474,gasoline,cvt,Chevrolet,fair,1,5,16755.91
2007,79902,1.6,358,gasoline,automatic,Nissan,poor,1,5,5416.73
2011,9336,1.6,317,gasoline,automatic,Kia,fair,0,3,17933.85
2013,170766,3.0,339,hybrid,manual,Nissan,fair,0,1,17301.82
2015,183952,5.0,161,diesel,automatic,Toyota,excellent,0,3,27948.41
2009,136343,2.0,348,gasoline,manual,Hyundai,poor,0,3,5561.2
2015,91764,1.4,217,gasoline,manual,Mercedes,good,0,2,37021.68
2016,72614,3.5,259,electric,automatic,Chevrolet,good,2,1,28454.16
2022,80065,4.0,445,gasoline,automatic,Ford,excellent,1,4,37552.9
2011,16523,2.0,115,gasoline,manual,Mercedes,good,1,2,36862.49
2019,147639,2.5,360,electric,automatic,Mercedes,good,5,2,49393.81
2017,77318,2.5,471,gasoline,manual,Hyundai,excellent,0,4,29454.07
2002,156819,1.8,357,gasoline,cvt,Honda,good,0,2,9344.08
2022,41719,2.0,242,gasoline,automatic,Ford,fair,1,1,18720.34
2001,101356,2.5,158,gasoline,automatic,Hyundai,good,1,3,5032.89
2001,38422,2.0,311,gasoline,cvt,Ford,good,0,1,12316.49
2023,86199,1.8,136,gasoline,automatic,Kia,excellent,2,2,23683.1
2004,119967,3.0,429,diesel,automatic,Nissan,excellent,1,1,23944.05
2013,88832,2.0,488,gasoline,manual,BMW,excellent,0,1,57364.92
2002,116688,5.0,245,hybrid,cvt,Nissan,fair,0,2,14957.26
2021,164639,1.6,365,gasoline,manual,Audi,excellent,0,3,49635.1
2022,53307,2.0,200,diesel,automatic,Audi,poor,2,3,27647.82
2003,130679,1.8,169,gasoline,automatic,BMW,excellent,3,2,7092.15
2013,161471,2.5,489,diesel,automatic,Audi,good,0,2,51794.46
2019,64480,5.0,123,electric,automatic,Nissan,excellent,1,4,37627.8
2003,120925,4.0,191,diesel,automatic,Chevrolet,excellent,0,3,13362.14
2008,102686,1.4,245,hybrid,manual,Hyundai,good,4,3,6044.53
2019,6897,2.5,429,electric,manual,Kia,good,3,3,27640.86
2008,91061,1.4,212,diesel,automatic,Honda,excellent,0,1,19787.36
2006,178522,5.0,234,gasoline,automatic,Mercedes,excellent,1,1,35756.38
2008,83490,2.0,462,hybrid,cvt,Ford,good,0,2,21445.88
2008,120258,1.4,262,gasoline,automatic,Hyundai,poor,0,1,6105.07
2015,58888,1.6,490,gasoline,automatic,Audi,poor,2,3,25841.85
2022,159742,4.0,285,hybrid,automatic,Toyota,good,1,3,31266.32
2013,6543,1.4,295,gasoline,automatic,Audi,excellent,1,4,51156.46
2003,72993,2.0,103,gasoline,manual,Hyundai,good,0,2,7640.46
2001,93527,2.0,301,gasoline,automatic,BMW,good,0,1,24096.06
2016,170128,2.5,233,gasoline,cvt,Kia,fair,0,2,8151.74
2017,189406,3.0,312,gasoline,automatic,Ford,good,3,1,15057.45
2023,53546,5.0,110,gasoline,automatic,Nissan,excellent,1,1,37161.24
2012,13072,1.4,148,electric,automatic,Toyota,good,0,1,26365.48
2007,55322,1.6,254,diesel,automatic,Hyundai,fair,4,3,7704.0
2018,51902,1.4,267,diesel,manual,Toyota,poor,3,1,11027.67
2013,85354,2.5,344,hybrid,automatic,Nissan,poor,2,2,12550.77
2008,131856,1.4,488,gasoline,automatic,Mercedes,poor,0,2,19243.03
2000,22771,2.5,425,gasoline,automatic,Toyota,poor,1,4,11509.05
2016,157099,1.4,162,diesel,automatic,Honda,fair,0,2,14083.29
2000,132059,5.0,237,gasoline,automatic,Mercedes,fair,4,3,11628.12
2008,4987,2.5,414,gasoline,automatic,Hyundai,excellent,0,2,24435.74
2013,150354,3.0,232,gasoline,automatic,Toyota,good,0,2,20965.18
2007,89566,3.0,172,diesel,automatic,BMW,poor,0,1,19212.26
2003,95281,1.4,325,electric,automatic,Chevrolet,excellent,4,1,10823.42
2001,196998,3.5,228,electric,cvt,Mercedes,excellent,0,1,21564.33
2021,48232,3.0,394,diesel,automatic,Audi,good,0,3,70429.21
2018,84956,4.0,328,gasoline,automatic,Honda,good,0,2,33157.53
2010,6917,4.0,345,diesel,automatic,Toyota,fair,1,3,24778.38
2019,59750,1.8,96,electric,automatic,Ford,excellent,3,2,23336.6
2009,78805,4.0,467,gasoline,cvt,Toyota,fair,2,2,16952.66
2005,100617,4.0,395,gasoline,manual,Toyota,excellent,0,2,25096.57
2016,17805,1.8,86,gasoline,automatic,Ford,poor,3,4,9393.59
2014,36785,4.0,171,hybrid,automatic,Toyota,excellent,1,1,37764.25
2019,46938,3.5,118,gasoline,automatic,Toyota,poor,0,3,13150.21
2014,30487,1.4,412,gasoline,cvt,Audi,fair,1,1,37005.99
2018,141209,3.5,89,diesel,automatic,Nissan,fair,1,2,14244.02
2023,140538,3.0,225,gasoline,automatic,Mercedes,excellent,1,2,67352.16
2002,188549,1.6,194,gasoline,automatic,Audi,fair,0,5,3837.86
2023,198741,1.4,220,gasoline,automatic,Audi,excellent,0,3,43540.51
2007,40649,2.0,236,gasoline,automatic,Mercedes,excellent,0,2,48405.65
2004,147103,2.5,114,gasoline,automatic,Chevrolet,excellent,1,5,610.64
2020,72094,1.4,486,gasoline,automatic,BMW,fair,0,1,47886.7
2013,147802,4.0,430,gasoline,automatic,Mercedes,good,1,2,54522.36
2000,69231,4.0,304,diesel,manual,Hyundai,good,0,1,14588.17
2012,160959,2.5,111,gasoline,automatic,Kia,good,1,1,6372.81
2016,89049,1.4,227,gasoline,automatic,Nissan,poor,0,4,11850.44
2009,17562,4.0,470,hybrid,cvt,Toyota,good,1,2,38118.38
2000,3761,1.4,354,gasoline,automatic,Nissan,poor,1,2,7637.2
2007,196832,4.0,92,electric,automatic,BMW,fair,1,3,9866.78
2006,98113,5.0,151,gasoline,automatic,Kia,excellent,1,1,16299.21
2008,177698,3.5,253,electric,automatic,Kia,poor,1,1,7231.95
2023,32590,2.5,317,gasoline,automatic,Kia,good,1,2,24177.82
2004,100679,1.4,438,gasoline,automatic,Mercedes,excellent,0,1,44519.95
2020,171118,4.0,302,gasoline,automatic,Chevrolet,excellent,3,3,20782.2
2015,53173,1.8,141,diesel,automatic,Chevrolet,good,0,1,20935.63
2019,177827,3.0,130,gasoline,automatic,Chevrolet,fair,0,2,12210.47
2012,112172,1.6,359,gasoline,automatic,Toyota,excellent,0,3,26158.86
2008,25733,4.0,371,gasoline,cvt,Audi,poor,0,1,26491.42
2004,186936,5.0,332,diesel,manual,Nissan,fair,1,1,9032.32
2010,143904,4.0,148,gasoline,manual,Nissan,excellent,2,3,12630.81
2018,52843,1.6,135,gasoline,automatic,Ford,good,0,3,18979.93
2018,136369,4.0,234,gasoline,automatic,BMW,excellent,0,1,58846.28
2010,194048,1.8,275,gasoline,automatic,Nissan,good,1,1,10868.67
2013,79623,2.0,290,diesel,manual,Honda,good,0,3,22276.18
2015,92159,5.0,110,hybrid,cvt,BMW,good,0,3,52268.9
2013,14344,1.6,93,hybrid,automatic,Chevrolet,good,0,2,20447.91
2003,14263,3.5,333,electric,automatic,Mercedes,good,5,1,40965.78
2015,103777,3.0,236,gasoline,manual,Audi,poor,0,3,15650.86
2004,37813,2.0,171,diesel,automatic,BMW,good,1,5,24889.1
2020,130801,1.4,362,gasoline,cvt,Mercedes,good,0,5,50902.82
2017,108381,3.0,293,diesel,automatic,Honda,good,3,1,24021.86
2016,152712,3.0,397,diesel,automatic,Honda,fair,1,1,22285.65
2000,96463,3.0,328,hybrid,automatic,Toyota,good,0,2,16692.61
2021,89865,3.5,299,gasoline,manual,Kia,fair,0,2,15701.23
2001,5491,4.0,187,gasoline,automatic,Kia,good,1,1,13965.58
2023,117533,3.0,162,gasoline,cvt,BMW,fair,1,1,34150.17
2012,51156,2.5,117,gasoline,automatic,Honda,excellent,0,1,26413.28
2001,49900,1.8,405,gasoline,manual,Kia,good,0,3,10446.98
2018,117590,1.6,236,gasoline,automatic,Toyota,fair,0,3,14526.66
2003,20507,1.6,459,gasoline,cvt,Audi,good,0,1,39540.35
2021,130959,2.0,189,diesel,automatic,Kia,good,0,2,20771.56
2012,102273,2.0,363,gasoline,manual,Hyundai,poor,1,2,9806.55
2008,41380,5.0,466,gasoline,manual,Nissan,excellent,1,2,31939.89
2004,160297,3.0,316,gasoline,automatic,Nissan,good,1,1,11107.94
2009,199072,3.5,304,hybrid,automatic,Toyota,good,0,2,17151.17
2017,179774,1.4,266,hybrid,automatic,Kia,excellent,1,2,18708.08
2018,151931,5.0,322,gasoline,automatic,Hyundai,fair,0,2,20051.45
2011,44938,3.0,84,gasoline,automatic,BMW,poor,1,1,15954.48
2007,61833,1.4,276,hybrid,automatic,BMW,fair,0,1,27534.42
2003,45320,1.6,344,gasoline,automatic,BMW,good,5,5,18237.34
2020,187809,2.0,457,diesel,automatic,Mercedes,excellent,2,2,65665.46
2023,151244,3.0,98,electric,automatic,Honda,good,1,2,26767.59
2019,65336,5.0,326,hybrid,automatic,Audi,fair,1,3,53886.84
2015,197296,1.6,467,gasoline,automatic,Hyundai,fair,0,4,12234.65
2021,4962,2.0,345,gasoline,manual,BMW,excellent,3,2,63390.0
2008,141389,3.0,201,diesel,automatic,Honda,good,1,1,14359.88
2008,165367,2.0,185,gasoline,automatic,Ford,excellent,4,1,6235.89
2003,126840,4.0,426,gasoline,automatic,Mercedes,excellent,0,3,49660.02
2007,67953,2.5,276,diesel,automatic,Kia,excellent,1,1,18526.69
2009,176654,2.0,453,gasoline,automatic,Chevrolet,good,2,3,10723.75
2003,84108,5.0,473,electric,manual,Nissan,fair,0,5,17910.62
2007,127021,3.0,493,diesel,automatic,Ford,good,0,3,23160.8
2008,133039,1.6,178,diesel,cvt,Toyota,excellent,0,3,14823.98
2017,52281,2.5,280,diesel,automatic,Chevrolet,excellent,1,1,33251.56
2015,112185,3.5,255,diesel,automatic,Toyota,excellent,0,1,30798.27
2015,182036,1.6,360,hybrid,manual,Hyundai,fair,3,1,9779.79
2013,133968,2.0,395,gasoline,automatic,Kia,good,0,2,16419.79
2002,184625,1.8,131,gasoline,automatic,Mercedes,good,1,1,6313.41
2012,124183,2.0,459,gasoline,manual,Toyota,excellent,0,1,25769.15
2011,45884,4.0,485,gasoline,manual,Toyota,good,1,1,29691.92
2016,150262,1.8,396,gasoline,manual,Kia,fair,0,2,11630.29
2005,100681,1.6,168,gasoline,automatic,Hyundai,fair,0,3,4635.09
2011,71084,1.4,235,gasoline,cvt,BMW,good,0,2,31487.7
2003,137035,3.0,172,gasoline,automatic,Kia,excellent,0,1,9391.51
2003,54115,1.4,334,diesel,automatic,Chevrolet,fair,0,3,10554.6
2015,2136,5.0,93,diesel,automatic,Kia,excellent,1,1,29855.81
2004,160535,3.5,283,electric,manual,Honda,excellent,5,1,7538.39
2016,168670,3.5,495,gasoline,automatic,Toyota,poor,0,3,14541.04
2023,96833,1.4,487,gasoline,automatic,Hyundai,excellent,2,1,33151.61
2017,104835,3.0,316,diesel,automatic,Kia,poor,0,2,12897.22
2012,52247,5.0,295,electric,automatic,Honda,good,1,1,36116.98
2022,67090,2.5,190,gasoline,manual,Honda,good,2,1,25489.53
2013,167168,4.0,241,hybrid,manual,Audi,fair,3,1,23755.79
2007,71403,4.0,112,hybrid,cvt,BMW,excellent,1,1,41211.72
2010,192415,4.0,306,diesel,automatic,Honda,fair,1,1,17017.68
2004,182802,2.0,455,gasoline,manual,Kia,excellent,0,2,11224.08
2019,87078,3.5,93,hybrid,manual,Nissan,good,0,1,22659.55
2005,3627,4.0,246,diesel,automatic,Kia,good,1,2,20083.25
2000,45051,2.5,319,gasoline,automatic,Chevrolet,excellent,1,4,14567.18
2023,122376,3.0,312,gasoline,manual,Nissan,excellent,2,2,26701.48
2023,178811,1.8,110,diesel,automatic,Ford,good,0,2,18630.64
2020,22986,3.0,330,gasoline,automatic,Chevrolet,poor,0,1,15920.51
2006,166252,2.0,308,electric,manual,Chevrolet,excellent,0,1,14114.16
2023,101758,3.0,251,gasoline,automatic,Kia,good,1,2,21724.2
2014,135583,1.8,121,gasoline,manual,Kia,excellent,0,1,11021.47
2002,21652,1.4,141,gasoline,automatic,Chevrolet,good,0,1,7176.85
2003,120857,4.0,189,gasoline,automatic,Kia,good,0,3,10570.11
2001,124212,3.0,417,gasoline,automatic,Hyundai,excellent,0,3,15819.23
2009,175087,1.8,365,gasoline,automatic,Chevrolet,excellent,4,1,9255.77
2006,77117,5.0,323,diesel,cvt,Kia,excellent,0,2,25684.08
2003,158443,3.5,472,gasoline,manual,Honda,good,1,1,17391.82
2013,3605,5.0,302,hybrid,automatic,Ford,excellent,0,2,40380.21
2013,111615,3.0,158,gasoline,automatic,Toyota,poor,0,1,8987.45
2001,149798,5.0,128,gasoline,automatic,Toyota,good,0,2,11802.35
2011,173659,1.8,227,gasoline,automatic,Chevrolet,excellent,0,2,14940.57
2003,28585,1.4,403,hybrid,automatic,Audi,good,0,2,41521.4
2000,161153,5.0,120,gasoline,automatic,Mercedes,excellent,1,3,13573.86
2008,133494,1.8,104,diesel,automatic,BMW,fair,0,1,18063.97
2002,65601,2.5,269,diesel,automatic,Ford,excellent,1,2,13809.48
2007,154917,1.6,485,gasoline,automatic,BMW,fair,0,3,26923.24
2005,22203,4.0,104,gasoline,manual,Ford,fair,0,2,9722.29
2002,118524,1.4,222,gasoline,cvt,Hyundai,fair,3,4,3166.93
2009,19144,1.8,115,gasoline,automatic,Audi,fair,0,2,23862.23
2015,3339,3.0,110,diesel,automatic,BMW,fair,2,4,32860.24
2008,116419,1.6,233,gasoline,cvt,Nissan,excellent,1,3,10657.95
2017,115126,3.5,381,hybrid,automatic,Audi,excellent,0,1,76876.89
2020,138890,1.4,184,gasoline,automatic,Honda,excellent,1,1,21055.1
2003,79115,1.4,437,electric,manual,Hyundai,fair,0,2,12336.07
2002,153889,1.4,319,gasoline,manual,Mercedes,fair,1,1,9233.06
2016,185802,1.8,90,gasoline,cvt,Nissan,good,0,4,10444.85
2019,89076,5.0,179,gasoline,cvt,Ford,poor,0,3,12776.05
